--- TOTAL USUARIOS: 42 ---
User: [El Dylan de Varela] (ID: b68d2717-b332-471d-8a74-4b2effc14cae) | Balance: $10000
User: [ChessP2_1766353088158] (ID: 20c8bc22-b39c-47d8-89b0-aa4385cada08) | Balance: $0
User: [ChessP1_1766353088158] (ID: 2de374b9-19f7-404f-a955-10a4e04c2a5d) | Balance: $0
User: [ChessP2_1766353029744] (ID: 48765173-9470-4e20-acfd-5051bb30c4cc) | Balance: $0
User: [ChessP1_1766353029744] (ID: 52b4f706-49ac-436e-9dcf-8f7b25b9c6fc) | Balance: $0
User: [ChessP2_1766352985788] (ID: 38bf27c6-bf2e-4280-b953-8cbf745568a7) | Balance: $0
User: [ChessP1_1766352985788] (ID: 10762d80-775f-4eb9-82e4-de558a44d7a9) | Balance: $0
User: [ChessP2_1766352937385] (ID: 5141f688-1210-491f-97d2-f7aec2b978d8) | Balance: $0
User: [ChessP1_1766352937385] (ID: 45667f9d-82f6-49f2-8259-a9de6dd52fe7) | Balance: $0
User: [ChessP2_1766352721264] (ID: 95bbced4-d316-46ef-935c-b68edc59f9a1) | Balance: $0
User: [ChessP1_1766352721264] (ID: c0074264-7149-4486-a909-197464bdf453) | Balance: $0
User: [ChessP2_1766351571293] (ID: 57243ffd-97fd-40da-b81f-e935218860e0) | Balance: $0
User: [ChessP1_1766351571293] (ID: 43046d99-d5fd-4973-a136-ab8aa11bb06e) | Balance: $0
User: [ChessP2_1766351463712] (ID: 95077693-1ca5-48f6-9548-d5118ac525cb) | Balance: $0
User: [ChessP1_1766351463712] (ID: 2d827091-de12-4a5b-a0c5-2792df606d5a) | Balance: $0
User: [ChessP2_1766351409331] (ID: f2fea8a1-d104-4d49-b71d-36f028d8c334) | Balance: $0
User: [ChessP1_1766351409331] (ID: 456e99bb-a290-4666-a81f-e45b00ef68d2) | Balance: $0
User: [ChessP2_1766351387392] (ID: ff8b97c6-631c-4345-a449-1db56140b9fb) | Balance: $0
User: [ChessP1_1766351387392] (ID: 9f7db251-402a-4bb0-bab7-f7adcca6bb84) | Balance: $0
User: [ChessP2_1766351352901] (ID: 9157d0b3-b700-4eb3-9d08-41903415da0f) | Balance: $0
User: [ChessP1_1766351352901] (ID: dc3db407-586b-4ec7-9182-2524b2d7e4d3) | Balance: $0
User: [ChessP2_1766351288976] (ID: 3c14a7c7-bf12-4ba6-b49b-5d59bb3096a0) | Balance: $0
User: [ChessP1_1766351288976] (ID: 010ea42d-1801-406e-836b-f401c38d3d15) | Balance: $0
User: [ChessP2_1766351210683] (ID: 8dd85569-7caf-4453-98f6-823cf8483da6) | Balance: $0
User: [ChessP1_1766351210683] (ID: ff3a450a-bb8e-44eb-9f21-f2ba7d77f1a0) | Balance: $0
User: [ChessP2_1766351078069] (ID: e9c9d688-0776-4171-8ec5-7782379af623) | Balance: $0
User: [ChessP1_1766351078069] (ID: b4d43762-95f2-4395-a2e6-d7b4836faccb) | Balance: $0
User: [ChessP2_1766350944031] (ID: c9ccfd2f-4a5b-4d52-ae5d-fafb9dfc32e5) | Balance: $0
User: [ChessP1_1766350944031] (ID: a8692385-80b6-409a-915e-4af8e074acee) | Balance: $0
User: [ChessP2_1766350845108] (ID: d96971ae-24d6-4287-92f3-7e2d105e1d29) | Balance: $0
User: [ChessP1_1766350845108] (ID: 612d6f6b-384a-4db2-8399-8c10b65505fc) | Balance: $0
User: [ChessP2_1766350788898] (ID: 11a335ae-1781-49a3-baf7-4cbce254ab0a) | Balance: $0
User: [ChessP1_1766350788898] (ID: 97b87eca-f8f4-4040-9e18-a4eb4b8f2185) | Balance: $0
User: [ChessP2_1766350757067] (ID: 09364c12-ba4c-4aea-b39f-9c508299ae27) | Balance: $0
User: [ChessP1_1766350757067] (ID: d6a105aa-aea6-47e0-b05d-848d01a0d6b7) | Balance: $0
User: [ChessP2_1766350720722] (ID: b55e215f-ce0d-4186-984f-e850f6b5ed28) | Balance: $0
User: [ChessP1_1766350720722] (ID: fd630175-efb9-4228-8318-877be4fae8ab) | Balance: $0
User: [ChessP2_1766350693896] (ID: fd94b2c4-b284-405f-949e-bef0c0a09938) | Balance: $0
User: [ChessP1_1766350693896] (ID: ec7de9cc-10bf-48dc-9515-aa6321eaf888) | Balance: $0
User: [ChessP2_1766350650918] (ID: 5063b9da-03b1-47c6-80ce-d6b5531de081) | Balance: $0
User: [ChessP1_1766350650918] (ID: 353f9d40-2a26-4cb8-9b3a-e32c3c169f5b) | Balance: $0
User: [amulak] (ID: 3ab37a6d-276c-43c0-ae17-80a8955152fb) | Balance: $20000
